"keyword","cluster","intent","product_relevance","journey_stage","availability","status","source_type","source_evidence","demand_proxy","demand_score","competition_score","rustore_relevance","conversion_potential","business_value","strategic_value","winability_score","opportunity_score","tier","target","metadata_placement","notes"
"индивидуальный гороскоп","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"точный гороскоп","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астропрогноз","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астрологический прогноз","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"персональный прогноз","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"личный прогноз","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"прогноз на сегодня","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"личный прогноз на сегодня","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","10","Retention","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","6","9","10","9","9","66","84","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"персональный прогноз на сегодня","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"прогноз на неделю","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"личный прогноз на неделю","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"персональный прогноз на неделю","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"прогноз на месяц","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"личный прогноз на месяц","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"персональный прогноз на месяц","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп по знакам зодиака","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"гороскоп по знаку зодиака","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскопы для всех знаков","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп приложение","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"приложение гороскоп","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"лучший гороскоп на сегодня","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Retention","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"правдивый гороскоп","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп без регистрации","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп бесплатно","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"персональный гороскоп бесплатно","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп по времени рождения","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп по месту рождения","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп с учетом времени рождения","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп с учетом натальной карты","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"личный астропрогноз","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"прогноз по дате рождения","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","A","TOP-3","short/full","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"гороскоп для меня","Гороскопы и персональные прогнозы","Получить прогноз на нужный период или персональный гороскоп","9","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","9","8","7","8","60","74","B","TOP-10","full","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"овен гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп овен сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"овен гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"овен гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"телец гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп телец сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"телец гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"телец гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"близнецы гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп близнецы сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"близнецы гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"близнецы гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"рак гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп рак сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"рак гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"рак гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"лев гороскоп","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"гороскоп лев сегодня","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"лев гороскоп на неделю","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"лев гороскоп на месяц","Знаки зодиака","Быстро открыть прогноз для конкретного знака","9","Retention","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP гороскоп — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","9","7","5","6","60","66","B","TOP-10","full via natural 12-sign coverage/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
